Qubit,T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
11,245.4179229710934,0.03369140625,0.05908203125,36,0.0002865849082253,0.0002865849082253,0,0.0002865849082253,18:68;10:68;12:68,18:0.002010978690822479;10:0.0015776401427056164;12:0.0018559440978009323,18:0.0010663132987942803;10:0.0013163139959384285;12:0.0010874651635643107
12,165.94970359513889,0.009521484375,0.00390625,36,0.0002855173660962,0.0002855173660962,0,0.0002855173660962,13:80;11:68,13:0.001958568378451292;11:0.0018559440978009323,13:0.0015912035736559138;11:0.0010874651635643107
13,190.5470998173668,0.01953125,0.03515625,36,0.0001620156106849,0.0001620156106849,0,0.0001620156106849,12:80;14:80,12:0.001958568378451292;14:0.0013254237708630878,12:0.0015912035736559138;14:0.0014374030336491428
14,122.22802439064348,0.0498046875,0.000732421875,36,0.0001273454139383,0.0001273454139383,0,0.0001273454139383,15:68;13:80,15:0.0010815957068401605;13:0.0013254237708630878,15:0.0010318111286569676;13:0.0014374030336491428
15,33.207875673670685,0.030517578125,0.001708984375,36,0.0001297417712287,0.0001297417712287,0,0.0001297417712287,14:68;19:68,14:0.0010815957068401605;19:0.001410199307690263,14:0.0010318111286569676;19:0.0008929641066609539
16,80.0791037711363,0.010498046875,0.000244140625,36,0.0005282473426512,0.0005282473426512,0,0.0005282473426512,23:68;3:68,23:0.001897321803198626;3:0.00344735604470367,23:0.0019270478699574822;3:0.003460141673417849
17,9.080384106021343,0.011474609375,0.0009765625,36,0.0003723082188602,0.0003723082188602,0,0.0003723082188602,7:68;27:68,7:0.0013796645027858712;27:0.001807017532500732,7:0.0017087345095926632;27:0.0019581238533963596
18,87.56258323586422,0.01904296875,0.01904296875,36,0.0006183571899678,0.0006183571899678,0,0.0006183571899678,11:68;31:68,11:0.002010978690822479;31:0.002311864334323649,11:0.0010663132987942803;31:0.0019451574606111355
19,59.55212352953285,0.00634765625,0.001220703125,36,0.0002118103325154,0.0002118103325154,0,0.0002118103325154,35:80;15:68,35:0.0016822215909340632;15:0.001410199307690263,35:0.0014365124842245225;15:0.0008929641066609539
20,146.72191482201794,0.01171875,0.00048828125,36,0.0002803898634844,0.0002803898634844,0,0.0002803898634844,21:68,21:0.00412505032339508,21:0.003259035476835953
21,157.13123830126335,0.0068359375,0.001220703125,36,0.0004123970286054,0.0004123970286054,0,0.0004123970286054,36:68;20:68;22:68,36:0.003287940682544177;20:0.00412505032339508;22:0.0027562223367853522,36:0.00240864909847599;20:0.003259035476835953;22:0.0014373275090243387
22,42.90051325186458,0.008544921875,0.001708984375,36,0.0002760210847681,0.0002760210847681,0,0.0002760210847681,23:68;21:68,23:0.002746255548988774;21:0.0027562223367853522,23:0.002044835962119379;21:0.0014373275090243387
23,200.6504971121022,0.03759765625,0.013427734375,36,0.0001655435522476,0.0001655435522476,0,0.0001655435522476,22:68;24:68;16:68,22:0.002746255548988774;24:0.0053577179541521025;16:0.001897321803198626,22:0.002044835962119379;24:0.0043828160136346606;16:0.0019270478699574822
24,41.682666320816594,0.02783203125,0.010986328125,36,0.0004713922320765,0.0004713922320765,0,0.0004713922320765,23:68;25:68,23:0.0053577179541521025;25:0.004129007555408487,23:0.0043828160136346606;25:0.004799140238446603
25,65.03217736118576,0.015625,0.009765625,36,0.0004241750891274,0.0004241750891274,0,0.0004241750891274,24:68;26:68;37:68,24:0.004129007555408487;26:0.015144968700102457;37:0.004067165677494572,24:0.004799140238446603;26:0.018495943346621413;37:0.003814279694266537
26,7.990634116824743,0.0947265625,0.003662109375,36,0.002282219423085,0.002282219423085,0,0.002282219423085,25:68;27:68,25:0.015144968700102457;27:0.01384198727880151,25:0.018495943346621413;27:0.01827464694280151
27,195.55313849097155,0.0078125,0.0,36,0.000230161942496,0.000230161942496,0,0.000230161942496,26:68;28:68;17:68,26:0.01384198727880151;28:0.002418546275149619;17:0.001807017532500732,26:0.01827464694280151;28:0.0022506012272219267;17:0.0019581238533963596
28,230.89439238685048,0.04638671875,0.005126953125,36,0.0005052950513922,0.0005052950513922,0,0.0005052950513922,27:68;29:68,27:0.002418546275149619;29:0.003582330045373283,27:0.0022506012272219267;29:0.0038564616810580488
29,90.13730319517391,0.20263671875,0.52392578125,36,0.0002879777002667,0.0002879777002667,0,0.0002879777002667,38:68;28:68;30:68,38:0.0032566241605495594;28:0.003582330045373283;30:0.002580368250780868,38:0.002589138225368076;28:0.0038564616810580488;30:0.0017872403664024317
